chart,metric,group,share,share_pct,raw_value,raw_unit,wallets,trades,volume_usd,window_start,window_end,source,builder
trader_classification,Wallets,Bot-like,0.25731191726377334,25.731191726377332,54836,wallets,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Wallets,Sophisticated,0.0029562059208581445,0.2956205920858144,630,wallets,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Wallets,Retail,0.7397318768153686,73.97318768153686,157645,wallets,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Trades,Bot-like,0.8788991943758396,87.88991943758397,262841126.0,trades,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Trades,Sophisticated,0.0001493794533141358,0.01493794533141358,44673.0,trades,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Trades,Retail,0.12095142617084619,12.095142617084619,36171394.0,trades,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Volume,Bot-like,0.8629061782371704,86.29061782371704,1787406603.7869227,usd,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Volume,Sophisticated,0.00973065027753601,0.973065027753601,20155874.42048484,usd,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
trader_classification,Volume,Retail,0.12736317148529355,12.736317148529356,263817526.78735635,usd,,,,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,surf_pull/repro_bots.py
ticket_size,Wallets,$1 or less,0.17169925531765137,17.169925531765138,36591,wallets,36591,42536900.0,97229371.01926687,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Trades,$1 or less,0.14223667243476065,14.223667243476067,42536900.0,trades,36591,42536900.0,97229371.01926687,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Volume,$1 or less,0.046939417579012814,4.693941757901282,97229371.01926687,usd,36591,42536900.0,97229371.01926687,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Wallets,$1 to $5,0.7327965238772283,73.27965238772283,156167,wallets,156167,244475625.0,1714961147.0573928,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Trades,$1 to $5,0.8174878609256524,81.74878609256524,244475625.0,trades,156167,244475625.0,1714961147.0573928,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Volume,$1 to $5,0.8279316894640624,82.79316894640624,1714961147.0573928,usd,156167,244475625.0,1714961147.0573928,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Wallets,$5 to $10,0.08646667698992544,8.646667698992545,18427,wallets,18427,11713172.0,228271858.89480937,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Trades,$5 to $10,0.0391669963945659,3.9166996394565907,11713172.0,trades,18427,11713172.0,228271858.89480937,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Volume,$5 to $10,0.11020279154205044,11.020279154205046,228271858.89480937,usd,18427,11713172.0,228271858.89480937,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Wallets,$10 to $50,0.008314915701207352,0.8314915701207352,1772,wallets,1772,313341.0,24983841.849832058,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Trades,$10 to $50,0.0010477627936539885,0.10477627936539885,313341.0,trades,1772,313341.0,24983841.849832058,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Volume,$10 to $50,0.012061447822025883,1.2061447822025884,24983841.849832058,usd,1772,313341.0,24983841.849832058,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Wallets,over $50,0.0007226281139875464,0.07226281139875464,154,wallets,154,18155.0,5933786.173488472,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Trades,over $50,6.0707451367003235e-05,0.006070745136700324,18155.0,trades,154,18155.0,5933786.173488472,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
ticket_size,Volume,over $50,0.0028646535928608962,0.2864653592860896,5933786.173488472,usd,154,18155.0,5933786.173488472,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
cadence,Wallets,1s or less,0.416731187033987,41.6731187033987,88810,wallets,88810,204755147.0,1740301000.4781365,2026-02-12,2026-05-28,codex_review/polymarket_5m_wallet_behavior_2026-06-09-1231.csv,codex_review/build_bot_section.py
