venue,week,category,volume_usd
kalshi,2025-12-29,sports,765021620.469987
kalshi,2025-12-29,crypto,20073146.97
kalshi,2025-12-29,politics,10660035.51
kalshi,2025-12-29,culture,2823054.09
kalshi,2025-12-29,stem,4102330.22
kalshi,2025-12-29,financials,2447101.41
kalshi,2025-12-29,economics,756471.32
kalshi,2025-12-29,other,411.6
kalshi,2026-01-05,sports,723962073.919969
kalshi,2026-01-05,crypto,28389516.63
kalshi,2026-01-05,politics,13013811.55
kalshi,2026-01-05,culture,3107570.05
kalshi,2026-01-05,stem,5264559.09
kalshi,2026-01-05,financials,4372143.08
kalshi,2026-01-05,economics,1194944.47
kalshi,2026-01-05,other,0.0
kalshi,2026-01-12,sports,754087862.439984
kalshi,2026-01-12,crypto,35497273.56
kalshi,2026-01-12,politics,19651976.46
kalshi,2026-01-12,culture,2928642.04
kalshi,2026-01-12,stem,5458960.72
kalshi,2026-01-12,financials,3978153.26
kalshi,2026-01-12,economics,874895.82
kalshi,2026-01-12,other,0.0
kalshi,2026-01-19,sports,737487874.039979
kalshi,2026-01-19,crypto,41342933.55
kalshi,2026-01-19,politics,19955935.5
kalshi,2026-01-19,culture,3091544.7
kalshi,2026-01-19,stem,8382512.17
kalshi,2026-01-19,financials,4140874.62
kalshi,2026-01-19,economics,822626.3
kalshi,2026-01-19,other,0.0
kalshi,2026-01-26,sports,757801349.189995
kalshi,2026-01-26,crypto,57611649.47
kalshi,2026-01-26,politics,36001269.13
kalshi,2026-01-26,culture,3120035.31
kalshi,2026-01-26,stem,7904642.48
kalshi,2026-01-26,financials,4950377.12
kalshi,2026-01-26,economics,2896035.01
kalshi,2026-01-26,other,38.15
kalshi,2026-02-02,sports,766220354.189977
kalshi,2026-02-02,crypto,76334424.52
kalshi,2026-02-02,politics,29765421.42
kalshi,2026-02-02,culture,36264563.75
kalshi,2026-02-02,stem,8972454.64
kalshi,2026-02-02,financials,4911324.83
kalshi,2026-02-02,economics,1691516.98
kalshi,2026-02-02,other,12.26
kalshi,2026-02-09,sports,864160622.470013
kalshi,2026-02-09,crypto,92239441.52
kalshi,2026-02-09,politics,26830774.82
kalshi,2026-02-09,culture,17657369.08
kalshi,2026-02-09,stem,8444015.95
kalshi,2026-02-09,financials,5663326.19
kalshi,2026-02-09,economics,3438010.21
kalshi,2026-02-09,other,36.36
kalshi,2026-02-16,sports,931088751.059993
kalshi,2026-02-16,crypto,99154191.999999
kalshi,2026-02-16,politics,21167528.54
kalshi,2026-02-16,culture,6050795.61
kalshi,2026-02-16,stem,10916502.09
kalshi,2026-02-16,financials,3740808.82
kalshi,2026-02-16,economics,3871793.55
kalshi,2026-02-16,other,170.19
kalshi,2026-02-23,sports,942200625.129987
kalshi,2026-02-23,crypto,124091228.469999
kalshi,2026-02-23,politics,49750701.34
kalshi,2026-02-23,culture,5474947.0
kalshi,2026-02-23,stem,11334388.41
kalshi,2026-02-23,financials,5287933.35
kalshi,2026-02-23,economics,3760626.16
kalshi,2026-02-23,other,22.34
kalshi,2026-03-02,sports,996003233.005966
kalshi,2026-03-02,crypto,128093789.993998
kalshi,2026-03-02,politics,38374464.197
kalshi,2026-03-02,culture,5859192.686
kalshi,2026-03-02,stem,9035019.26
kalshi,2026-03-02,financials,5186644.18
kalshi,2026-03-02,economics,3753725.411
kalshi,2026-03-02,other,0.0
kalshi,2026-03-09,sports,1034413801.737983
kalshi,2026-03-09,crypto,112876343.75
kalshi,2026-03-09,politics,16350892.43
kalshi,2026-03-09,culture,14107542.946
kalshi,2026-03-09,stem,8403626.38
kalshi,2026-03-09,financials,5968704.67
kalshi,2026-03-09,economics,5978874.901
kalshi,2026-03-09,other,12.96
kalshi,2026-03-16,sports,926317892.103001
kalshi,2026-03-16,crypto,127473373.563001
kalshi,2026-03-16,politics,17862512.374
kalshi,2026-03-16,culture,8144886.082
kalshi,2026-03-16,stem,7359233.04
kalshi,2026-03-16,financials,7044051.7
kalshi,2026-03-16,economics,6943949.41
kalshi,2026-03-16,other,18099.41
kalshi,2026-03-23,sports,920763026.214996
kalshi,2026-03-23,crypto,149619746.897002
kalshi,2026-03-23,politics,23405372.983
kalshi,2026-03-23,culture,2537076.06
kalshi,2026-03-23,stem,7804298.491
kalshi,2026-03-23,financials,7389201.535
kalshi,2026-03-23,economics,8119415.25
kalshi,2026-03-23,other,11330.92
kalshi,2026-03-30,sports,943073123.137012
kalshi,2026-03-30,crypto,142599338.079002
kalshi,2026-03-30,politics,22593181.457
kalshi,2026-03-30,culture,2830757.23
kalshi,2026-03-30,stem,7244405.253
kalshi,2026-03-30,financials,9091549.791
kalshi,2026-03-30,economics,11235876.14
kalshi,2026-03-30,other,85790.61
kalshi,2026-04-06,sports,1090583445.406031
kalshi,2026-04-06,crypto,149937253.038999
kalshi,2026-04-06,politics,26981078.475
kalshi,2026-04-06,culture,2371379.826
kalshi,2026-04-06,stem,7025118.602
kalshi,2026-04-06,financials,8759435.643
kalshi,2026-04-06,economics,9377483.004
kalshi,2026-04-06,other,205407.409
kalshi,2026-04-13,sports,984214388.081015
kalshi,2026-04-13,crypto,163776231.842997
kalshi,2026-04-13,politics,18204906.21
kalshi,2026-04-13,culture,2131477.564
kalshi,2026-04-13,stem,8135958.009
kalshi,2026-04-13,financials,9911052.086
kalshi,2026-04-13,economics,1542807.87
kalshi,2026-04-13,other,941619.951
kalshi,2026-04-20,sports,1212265550.446041
kalshi,2026-04-20,crypto,161725662.916011
kalshi,2026-04-20,politics,20566103.318
kalshi,2026-04-20,culture,3044769.554
kalshi,2026-04-20,stem,8883360.501
kalshi,2026-04-20,financials,8717029.066
kalshi,2026-04-20,economics,2035860.598
kalshi,2026-04-20,other,607740.685
kalshi,2026-04-27,sports,1180636211.477002
kalshi,2026-04-27,crypto,162233801.648005
kalshi,2026-04-27,politics,21424882.845
kalshi,2026-04-27,culture,4094753.823
kalshi,2026-04-27,stem,7504152.394
kalshi,2026-04-27,financials,8994136.895
kalshi,2026-04-27,economics,2686860.411
kalshi,2026-04-27,other,701747.168
kalshi,2026-05-04,sports,1226074545.094046
kalshi,2026-05-04,crypto,192966210.858005
kalshi,2026-05-04,politics,18512404.821
kalshi,2026-05-04,culture,5707456.908
kalshi,2026-05-04,stem,8546185.93
kalshi,2026-05-04,financials,9998266.249
kalshi,2026-05-04,economics,1783571.229
kalshi,2026-05-04,other,1077234.515
kalshi,2026-05-11,sports,1077902797.362031
kalshi,2026-05-11,crypto,216120978.662007
kalshi,2026-05-11,politics,18751966.612
kalshi,2026-05-11,culture,9883132.109
kalshi,2026-05-11,stem,8386850.001
kalshi,2026-05-11,financials,9357108.759
kalshi,2026-05-11,economics,1694923.391
kalshi,2026-05-11,other,1158364.838
kalshi,2026-05-18,sports,1168449262.736033
kalshi,2026-05-18,crypto,238027747.330002
kalshi,2026-05-18,politics,29674549.585
kalshi,2026-05-18,culture,4752506.358
kalshi,2026-05-18,stem,8177791.529
kalshi,2026-05-18,financials,9189586.491
kalshi,2026-05-18,economics,1430789.637
kalshi,2026-05-18,other,2125327.772
kalshi,2026-05-25,sports,1285848135.399023
kalshi,2026-05-25,crypto,247589821.297004
kalshi,2026-05-25,politics,22537710.089
kalshi,2026-05-25,culture,2869936.052
kalshi,2026-05-25,stem,7753835.294
kalshi,2026-05-25,financials,8001612.288
kalshi,2026-05-25,economics,1939161.209
kalshi,2026-05-25,other,995085.236
kalshi,2026-06-01,sports,1153146476.753992
kalshi,2026-06-01,crypto,337141887.134999
kalshi,2026-06-01,politics,45656387.787
kalshi,2026-06-01,culture,4427481.191
kalshi,2026-06-01,stem,7463936.767
kalshi,2026-06-01,financials,8410667.623
kalshi,2026-06-01,economics,3915952.094
kalshi,2026-06-01,other,4301916.821
kalshi,2026-06-08,sports,1587397948.676961
kalshi,2026-06-08,crypto,364358574.805998
kalshi,2026-06-08,politics,24591366.111
kalshi,2026-06-08,culture,6983381.134
kalshi,2026-06-08,stem,8157624.278
kalshi,2026-06-08,financials,10694111.78
kalshi,2026-06-08,economics,2714549.896
kalshi,2026-06-08,other,1589807.237
kalshi,2026-06-15,sports,2288174523.933926
kalshi,2026-06-15,crypto,468774496.38
kalshi,2026-06-15,politics,16197218.923
kalshi,2026-06-15,culture,7038452.556
kalshi,2026-06-15,stem,6984771.095
kalshi,2026-06-15,financials,9923424.965
kalshi,2026-06-15,economics,4267992.449
kalshi,2026-06-15,other,1029016.121
kalshi,2026-06-22,sports,2584882190.767897
kalshi,2026-06-22,crypto,537918959.726
kalshi,2026-06-22,politics,20241764.135
kalshi,2026-06-22,culture,6295039.45
kalshi,2026-06-22,stem,7998721.004
kalshi,2026-06-22,financials,11773553.918
kalshi,2026-06-22,economics,1848081.359
kalshi,2026-06-22,other,1459005.148
polymarket,2026-01-05,sports,281821358.538881
polymarket,2026-01-05,crypto,210263374.137064
polymarket,2026-01-05,politics,75002359.174703
polymarket,2026-01-05,culture,39381548.103053
polymarket,2026-01-05,stem,4338617.892622
polymarket,2026-01-05,financials,4454095.779594
polymarket,2026-01-05,economics,17250670.294349
polymarket,2026-01-05,other,0.0
polymarket,2026-01-12,sports,342672379.826328
polymarket,2026-01-12,crypto,246373445.718562
polymarket,2026-01-12,politics,105760053.364615
polymarket,2026-01-12,culture,26634698.091995
polymarket,2026-01-12,stem,4209173.573722
polymarket,2026-01-12,financials,4478917.308911
polymarket,2026-01-12,economics,26984856.522714
polymarket,2026-01-12,other,0.0
polymarket,2026-01-19,sports,388806299.453764
polymarket,2026-01-19,crypto,182556385.849466
polymarket,2026-01-19,politics,124165782.854531
polymarket,2026-01-19,culture,25265412.521507
polymarket,2026-01-19,stem,6757190.018436
polymarket,2026-01-19,financials,13581023.005021
polymarket,2026-01-19,economics,21344563.741961
polymarket,2026-01-19,other,0.0
polymarket,2026-01-26,sports,348912324.31084
polymarket,2026-01-26,crypto,225115903.769809
polymarket,2026-01-26,politics,203840994.141972
polymarket,2026-01-26,culture,24066181.818917
polymarket,2026-01-26,stem,18125609.115562
polymarket,2026-01-26,financials,20512591.091098
polymarket,2026-01-26,economics,39710378.047454
polymarket,2026-01-26,other,0.0
polymarket,2026-02-02,sports,356253229.055639
polymarket,2026-02-02,crypto,261358234.243051
polymarket,2026-02-02,politics,189674581.033254
polymarket,2026-02-02,culture,25931302.340519
polymarket,2026-02-02,stem,7119345.959643
polymarket,2026-02-02,financials,14285797.639507
polymarket,2026-02-02,economics,9824584.041376
polymarket,2026-02-02,other,0.2553
polymarket,2026-02-09,sports,308682718.532124
polymarket,2026-02-09,crypto,280647397.590681
polymarket,2026-02-09,politics,102202207.46901
polymarket,2026-02-09,culture,30323707.066157
polymarket,2026-02-09,stem,10755331.413795
polymarket,2026-02-09,financials,11446714.345846
polymarket,2026-02-09,economics,11299215.171927
polymarket,2026-02-09,other,43.640551
polymarket,2026-02-16,sports,337623275.790184
polymarket,2026-02-16,crypto,283455030.90494
polymarket,2026-02-16,politics,101151233.321514
polymarket,2026-02-16,culture,34722166.354098
polymarket,2026-02-16,stem,13573161.365352
polymarket,2026-02-16,financials,11800234.190741
polymarket,2026-02-16,economics,5594520.168882
polymarket,2026-02-16,other,5.479268
polymarket,2026-02-23,sports,357509703.827126
polymarket,2026-02-23,crypto,334968415.671353
polymarket,2026-02-23,politics,236452092.66874
polymarket,2026-02-23,culture,23655031.850736
polymarket,2026-02-23,stem,15661468.994922
polymarket,2026-02-23,financials,11094770.246991
polymarket,2026-02-23,economics,8268173.25543
polymarket,2026-02-23,other,3020.914002
polymarket,2026-03-02,sports,409926131.940161
polymarket,2026-03-02,crypto,358882249.963776
polymarket,2026-03-02,politics,196531675.594185
polymarket,2026-03-02,culture,24373779.559093
polymarket,2026-03-02,stem,15691282.682668
polymarket,2026-03-02,financials,18259994.678552
polymarket,2026-03-02,economics,18842593.941854
polymarket,2026-03-02,other,42756.1538
polymarket,2026-03-09,sports,436225793.172354
polymarket,2026-03-09,crypto,313380616.796314
polymarket,2026-03-09,politics,174167686.055329
polymarket,2026-03-09,culture,35924921.485484
polymarket,2026-03-09,stem,16358816.046163
polymarket,2026-03-09,financials,25785085.265104
polymarket,2026-03-09,economics,30636594.216716
polymarket,2026-03-09,other,82989.007097
polymarket,2026-03-16,sports,559447999.718206
polymarket,2026-03-16,crypto,315123898.777001
polymarket,2026-03-16,politics,132865686.804015
polymarket,2026-03-16,culture,26003116.477704
polymarket,2026-03-16,stem,20877649.940896
polymarket,2026-03-16,financials,18770808.951205
polymarket,2026-03-16,economics,26291093.487669
polymarket,2026-03-16,other,12837.481969
polymarket,2026-03-23,sports,394704231.017506
polymarket,2026-03-23,crypto,326205417.625519
polymarket,2026-03-23,politics,195741534.160516
polymarket,2026-03-23,culture,22406045.387207
polymarket,2026-03-23,stem,23678959.933727
polymarket,2026-03-23,financials,32435234.133331
polymarket,2026-03-23,economics,8782664.000164
polymarket,2026-03-23,other,3178.201664
