week,5m,15m,1h-4h,daily,weekly_and_longer,total
2026-01-05,0.000000,578094.316659,0.000000,0.000000,3.565168,578097.881827
2026-01-12,0.000000,782381.526520,0.000000,0.000000,0.000000,782381.526520
2026-01-19,0.000000,627179.416727,0.000000,0.000000,0.000000,627179.416727
2026-01-26,0.000000,751602.556156,0.000000,0.000000,0.000000,751602.556156
2026-02-02,0.000000,1088777.963201,0.000000,0.000000,0.000000,1088777.963201
2026-02-09,349024.170192,927649.223945,0.000000,0.000000,0.000000,1276673.394137
2026-02-16,840623.617837,539382.153544,0.000000,0.000000,0.000000,1380005.771381
2026-02-23,1109041.447618,483255.327930,0.000000,0.000000,0.000000,1592296.775548
2026-03-02,1405077.005293,496932.064950,78059.301184,4085.267449,325.298695,1984478.937572
2026-03-09,1258029.344177,409070.813698,150920.574441,16181.916020,36214.524254,1870417.172590
2026-03-16,1332783.349742,409397.800746,146158.002306,16070.332546,55897.902122,1960307.387462
2026-03-23,1446192.080967,395120.240051,130343.958839,18457.850241,53106.049889,2043220.179988
2026-03-30,2582204.363632,726478.598716,191148.118882,50353.386509,138926.997930,3689111.465669
2026-04-06,2715904.802796,654466.312049,204959.245441,42964.920954,224139.782382,3842435.063622
2026-04-13,2455487.653650,576173.193697,199121.393379,45776.906531,263125.461752,3539684.609009
2026-04-20,2443252.675936,548449.465396,189798.308296,41906.698344,173235.608397,3396642.756370
2026-04-27,1761404.160091,423870.873377,134900.247629,34429.077306,268467.930851,2623072.289255
2026-05-04,1848850.123949,413293.674190,144181.593250,47055.374280,200804.048500,2654184.814169
2026-05-11,1745199.017130,384668.767750,100934.063810,37542.413240,187417.963950,2455762.225880
2026-05-18,1811551.391300,403995.262710,96260.319070,40963.643290,188039.178560,2540809.794930
2026-05-25,1815882.966510,341168.425850,91555.359160,30786.453460,173338.786740,2452731.991720
2026-06-01,1882744.644040,371133.737670,112504.811420,65374.626130,510237.999860,2941995.819120
2026-06-08,1886294.487110,359538.117580,97801.964580,55118.642550,151172.851380,2549926.063200
2026-06-15,1927426.930810,348253.891780,97958.108440,42377.332700,135037.925360,2551054.189090
2026-06-22,2094175.049540,326107.660430,90465.521010,47034.665240,175884.218340,2733667.114560
