chart,duration,cohort_index,visible_cohort_label,cohort_week_from_visible_label,new_wallets,prior_exact_wallets_check,week_1_retention_share,week_1_retention_pct,week_4_retention_share,week_4_retention_pct,prior_week_1_share_check,prior_week_4_share_check,source,note
cohort_funnel,5m,0,Feb. 9,2026-02-09,23314,23314,0.631387,63.139,0.277007,27.701,0.631466,0.276829,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,1,,,19486,,0.518248,51.825,0.218613,21.861,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,2,Feb. 23,2026-02-23,16531,16527,0.530657,53.066,0.209854,20.985,0.530586,0.209778,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,3,,,17375,,0.495255,49.526,0.189051,18.905,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,4,Mar. 9,2026-03-09,16513,16513,0.532847,53.285,0.199635,19.964,0.532974,0.199782,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,5,,,15778,,0.548905,54.891,0.206569,20.657,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,6,Mar. 23,2026-03-23,15953,15950,0.528832,52.883,0.194161,19.416,0.528715,0.194044,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,7,,,14034,,0.527372,52.737,0.177737,17.774,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,8,Apr. 6,2026-04-06,14934,14935,0.509124,50.912,0.170438,17.044,0.50914,0.170271,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,9,,,12602,,0.512044,51.204,0.186496,18.65,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,10,Apr. 20,2026-04-20,11134,11130,0.503285,50.328,0.173723,17.372,0.503235,0.173675,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,11,,,10161,,0.45073,45.073,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,12,May 4,2026-05-04,7527,7530,0.516788,51.679,,,0.516733,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,13,,,7728,,0.50438,50.438,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,14,May 18,2026-05-18,7058,7058,0.499635,49.964,,,0.460895,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,15,,,5654,,0.50219,50.219,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,16,Jun 8,2026-06-08,6811,,0.522993,52.299,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,17,,,7673,,0.523723,52.372,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,5m,18,Jun 22,2026-06-22,5149,,,,,,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,0,Dec. 29,2025-12-29,9816,9814,0.780657,78.066,0.389416,38.942,0.780823,0.38924,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,1,,,8735,,0.595255,59.526,0.285401,28.54,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,2,,,7198,,0.60219,60.219,0.268978,26.898,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,3,Jan. 19,2026-01-19,6651,6649,0.605839,60.584,0.188321,18.832,0.605805,0.188299,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,4,,,6340,,0.610219,61.022,0.188321,18.832,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,5,,,11586,,0.558759,55.876,0.137591,13.759,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,6,Feb. 9,2026-02-09,9328,9327,0.467518,46.752,0.156204,15.62,0.467353,0.15632,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,7,,,5866,,0.490511,49.051,0.185036,18.504,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,8,,,5063,,0.512409,51.241,0.179197,17.92,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,9,Mar. 2,2026-03-02,4963,4963,0.524818,52.482,0.190511,19.051,0.524884,0.190611,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,10,,,4826,,0.555839,55.584,0.181752,18.175,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,11,,,4853,,0.563869,56.387,0.192336,19.234,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,12,Mar. 23,2026-03-23,4274,4276,0.574453,57.445,0.19635,19.635,0.574369,0.196445,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,13,,,3941,,0.54562,54.562,0.186861,18.686,,,report/index.html,chart-ready June retention dataset
cohort_funnel,15m,14,,,3407,,0.585766,58.577,0.204745,20.474,,,report/index.html,chart-ready June retention dataset
