chart,series,x_value,x_label,metric,value_share,value_pct,source
wallet_retention_by_product,5-minute,0,0,wallet_retention,1.0,100.0,report/index.html
wallet_retention_by_product,5-minute,1,1,wallet_retention,0.528832,52.883,report/index.html
wallet_retention_by_product,5-minute,2,2,wallet_retention,0.321168,32.117,report/index.html
wallet_retention_by_product,5-minute,3,3,wallet_retention,0.245985,24.599,report/index.html
wallet_retention_by_product,5-minute,4,4,wallet_retention,0.205109,20.511,report/index.html
wallet_retention_by_product,5-minute,5,5,wallet_retention,0.168978,16.898,report/index.html
wallet_retention_by_product,5-minute,6,6,wallet_retention,0.145985,14.599,report/index.html
wallet_retention_by_product,5-minute,7,7,wallet_retention,0.127007,12.701,report/index.html
wallet_retention_by_product,5-minute,8,8,wallet_retention,0.114964,11.496,report/index.html
wallet_retention_by_product,5-minute,9,9,wallet_retention,0.104015,10.401,report/index.html
wallet_retention_by_product,5-minute,10,10,wallet_retention,0.094891,9.489,report/index.html
wallet_retention_by_product,5-minute,11,11,wallet_retention,0.090146,9.015,report/index.html
wallet_retention_by_product,5-minute,12,12,wallet_retention,0.085036,8.504,report/index.html
wallet_retention_by_product,1-hour,0,0,wallet_retention,1.0,100.0,report/index.html
wallet_retention_by_product,1-hour,1,1,wallet_retention,0.567153,56.715,report/index.html
wallet_retention_by_product,1-hour,2,2,wallet_retention,0.355109,35.511,report/index.html
wallet_retention_by_product,1-hour,3,3,wallet_retention,0.282847,28.285,report/index.html
wallet_retention_by_product,1-hour,4,4,wallet_retention,0.231022,23.102,report/index.html
wallet_retention_by_product,1-hour,5,5,wallet_retention,0.183942,18.394,report/index.html
wallet_retention_by_product,1-hour,6,6,wallet_retention,0.159854,15.985,report/index.html
wallet_retention_by_product,1-hour,7,7,wallet_retention,0.136861,13.686,report/index.html
wallet_retention_by_product,1-hour,8,8,wallet_retention,0.122993,12.299,report/index.html
wallet_retention_by_product,1-hour,9,9,wallet_retention,0.090876,9.088,report/index.html
wallet_retention_by_product,1-hour,10,10,wallet_retention,0.086131,8.613,report/index.html
wallet_retention_by_product,1-hour,11,11,wallet_retention,0.1,10.0,report/index.html
wallet_retention_by_product,1-hour,12,12,wallet_retention,0.094161,9.416,report/index.html
wallet_retention_by_product,daily,0,0,wallet_retention,1.0,100.0,report/index.html
wallet_retention_by_product,daily,1,1,wallet_retention,0.655839,65.584,report/index.html
wallet_retention_by_product,daily,2,2,wallet_retention,0.459124,45.912,report/index.html
wallet_retention_by_product,daily,3,3,wallet_retention,0.372993,37.299,report/index.html
wallet_retention_by_product,daily,4,4,wallet_retention,0.316058,31.606,report/index.html
wallet_retention_by_product,daily,5,5,wallet_retention,0.263869,26.387,report/index.html
wallet_retention_by_product,daily,6,6,wallet_retention,0.224088,22.409,report/index.html
wallet_retention_by_product,daily,7,7,wallet_retention,0.206934,20.693,report/index.html
wallet_retention_by_product,daily,8,8,wallet_retention,0.187956,18.796,report/index.html
wallet_retention_by_product,daily,9,9,wallet_retention,0.174088,17.409,report/index.html
wallet_retention_by_product,daily,10,10,wallet_retention,0.158029,15.803,report/index.html
wallet_retention_by_product,daily,11,11,wallet_retention,0.15,15.0,report/index.html
wallet_retention_by_product,daily,12,12,wallet_retention,0.140876,14.088,report/index.html
wallet_retention_by_product,weekly,0,0,wallet_retention,1.0,100.0,report/index.html
wallet_retention_by_product,weekly,1,1,wallet_retention,0.808029,80.803,report/index.html
wallet_retention_by_product,weekly,2,2,wallet_retention,0.672993,67.299,report/index.html
wallet_retention_by_product,weekly,3,3,wallet_retention,0.583942,58.394,report/index.html
