row_type,venue,statistic,percentile,trade_size_usd,label_display,chart_role,log10_bin_left,log10_bin_right,log10_bin_mid,trade_size_low_usd,trade_size_high_usd,trade_size_mid_usd,trade_count,density_index,cost_basis,window_start,window_end,source
percentile,Polymarket,p10,0.1,0.410000,p10 $0.41,lower_whisker,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Polymarket,p25,0.25,1.140000,p25 $1.14,box_lower,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Polymarket,p50,0.5,3.050000,median $3.05,median,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Polymarket,p75,0.75,6.960000,p75 $6.96,box_upper,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Polymarket,p90,0.9,18.740000,p90 $18.74,upper_whisker,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Polymarket,p95,0.95,33.510000,p95 $33.51,tail_marker,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Polymarket,p99,0.99,124.310000,p99 $124,tail_marker,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Polymarket,p999,0.999,967.150000,p99.9 $967,tail_marker,,,,,,,,,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p10,0.1,0.390000,p10 $0.39,lower_whisker,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p25,0.25,0.960000,p25 $0.96,box_lower,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p50,0.5,4.700000,median $4.70,median,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p75,0.75,19.790000,p75 $19.79,box_upper,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p90,0.9,69.620000,p90 $69.62,upper_whisker,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p95,0.95,123.390000,p95 $123,tail_marker,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p99,0.99,385.440000,p99 $385,tail_marker,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
percentile,Kalshi,p999,0.999,1124.500000,p99.9 $1.1K,tail_marker,,,,,,,,,contracts_times_price_cost_basis,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-2.0,-1.8,-1.9,0.01000000,0.01584893,0.01258925,2709317,0.0250212878,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-1.8,-1.6,-1.7,0.01584893,0.02511886,0.01995262,3506140,0.0323801674,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-1.6,-1.4,-1.5,0.02511886,0.03981072,0.03162278,3934072,0.0363322371,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-1.4,-1.2,-1.3,0.03981072,0.06309573,0.05011872,8941483,0.0825770551,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-1.2,-1.0,-1.1,0.06309573,0.10000000,0.07943282,6976281,0.0644278741,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-1.0,-0.8,-0.9,0.10000000,0.15848932,0.12589254,13433716,0.1240640626,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-0.8,-0.6,-0.7,0.15848932,0.25118864,0.19952623,14814952,0.1368201570,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-0.6,-0.4,-0.5,0.25118864,0.39810717,0.31622777,17667469,0.1631639362,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-0.4,-0.2,-0.3,0.39810717,0.63095734,0.50118723,27017163,0.2495109322,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,-0.2,0.0,-0.1,0.63095734,1.00000000,0.79432823,53208750,0.4913974429,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,0.0,0.2,0.1,1.00000000,1.58489319,1.25892541,80289480,0.7414954337,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,0.2,0.4,0.3,1.58489319,2.51188643,1.99526231,97480231,0.9002567480,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,0.4,0.6,0.5,2.51188643,3.98107171,3.16227766,108041634,0.9977942100,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,0.6,0.8,0.7,3.98107171,6.30957344,5.01187234,108280478,1.0000000000,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,0.8,1.0,0.9,6.30957344,10.00000000,7.94328235,70603995,0.6520473155,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,1.0,1.2,1.1,10.00000000,15.84893192,12.58925412,46328176,0.4278534493,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,1.2,1.4,1.3,15.84893192,25.11886432,19.95262315,32882900,0.3036826269,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
histogram_bin,Polymarket,,,,,,1.4,1.6,1.5,25.11886432,39.81071706,31.62277660,18621414,0.1719738806,dollars_paid_amount_usd,2026-01-01,2026-05-28,report/surf_pull/rebuild_tradesize_fulltape.py
